album,artist,sentiment
Entre a Mi Mundo,Selena,0.23819323593054464
It's a Beautiful Thing,Keith Murray,0.4483018975440191
Gothic,Paradise Lost,0.3780614280015948
Beaucoup Fish,Underworld,0.5572895891503786
Longing in Their Hearts,Bonnie Raitt,0.5503010783779206
Happy Town,Jill Sobule,0.5878895614019869
Trashed,Lagwagon,0.5487073961149126
Enlightenment,Van Morrison,0.6191767528532047
Washing Machine,Sonic Youth,0.4866122430011496
Parallels,Fates Warning,0.45262761474575075
Red Moon,The Call,0.4887208672858849
Hoist,Phish,0.44334529982715015
Holy Smoke,Peter Murphy,0.43227629304613746
Down To Earth,Monie Love,0.5398981443507466
Clockseed,Vampire Rodents,0.46955083144245185
Weird Tales,Golden Smog,0.5521296275939173
Blaze of Glory,Jon Bon Jovi,0.4798158168433621
There Is No-One What Will Take Care of You,Palace Brothers,0.4529537014668783
How to Measure a Planet?,The Gathering,0.5620878988496635
Dookie,Green Day,0.42456457040928774
Chaos and Disorder,Prince,0.5917652794397897
Blessed Are the Sick,Morbid Angel,0.4469684882329472
Soul of a Woman,Kelly Price,0.46571767193451175
Pucker!,The Selecter,0.3989351554777054
Interstate 8,Modest Mouse,0.603885409513157
Foundation,Brand Nubian,0.4554723284869476
Seamonsters,The Wedding Present,0.4778303290469221
Days Like This,Van Morrison,0.4319049518491076
In a Reverie,Lacuna Coil,0.5211355049714613
Red Voodoo,Sammy Hagar,0.6557587906404435
Ladies and Gentlemen We Are Floating in Space,Spiritualized,0.35789713613911106
Labour of Love III,UB40,0.7213692073154065
Shooting Straight in the Dark,Mary Chapin Carpenter,0.49895728202643314
Strictly 4 My N.I.G.G.A.Z.,2Pac,0.3465556604110113
Lemonade and Brownies,Sugar Ray,0.35101715197447075
"HIStory: Past, Present and Future, Book I",Michael Jackson,0.48080938589341143
Manscape,Wire,0.45252569912678225
Diva,Annie Lennox,0.5291856486049582
A Cheap and Evil Girl,Bree Sharp,0.6438401922469836
It's Great When You're Straight... Yeah,Black Grape,0.515259303719544
In Reverse,Matthew Sweet,0.523834996114924
Hooked,Great White,0.6011302244927587
High-Tech Redneck,George Jones,0.6057439170323091
Greed Killing,Napalm Death,0.2512314800854254
A Love Like Ours,Barbra Streisand,0.6714575931577622
gloria!,Gloria Estefan,0.3307220984251614
Enter the Dru,Dru Hill,0.5334675312226531
Naveed,Our Lady Peace,0.41814799748822046
Hey! Album,Marvelous 3,0.4712220747892291
A Medio Vivir,Ricky Martin,0.15719934799844332
Nimrod,Green Day,0.4866176985808555
Hymns to the Silence,Van Morrison,0.5005676413733843
Infinity Within,Deee-Lite,0.5057465394473322
18 til I Die,Bryan Adams,0.575144716744335
Give It Back!,The Brian Jonestown Massacre,0.6220089631385054
Something's Gotta Give,Agnostic Front,0.5175370146110168
Stigmata,Arch Enemy,0.5264382535916969
Harvest Moon,Neil Young,0.6170448458601622
Bring It On,Gomez,0.49910251296370123
Gorgeous,808 State,0.8236936577582762
