id,rank,date,artist,song,last_week,weeks_on_chart,peak_rank
581724,1,1958-08-04,Ricky Nelson,Poor Little Fool,,1,1
572037,2,1958-08-04,Perez Prado And His Orchestra,Patricia,,1,2
577084,3,1958-08-04,Bobby Darin,Splish Splash,,1,3
575171,4,1958-08-04,Elvis Presley With The Jordanaires,Hard Headed Woman,,1,4
580391,5,1958-08-04,Kalin Twins,When,,1,5
570634,6,1958-08-04,Duane Eddy His Twangy Guitar And The Rebels,Rebel-'rouser,,1,6
580582,7,1958-08-04,The Coasters,Yakety Yak,,1,7
578872,8,1958-08-04,Jack Scott,My True Love,,1,8
577259,9,1958-08-04,The Johnny Otis Show,Willie And The Hand Jive,,1,9
575127,10,1958-08-04,Peggy Lee,Fever,,1,10
577537,11,1958-08-04,Frankie Avalon,Ginger Bread,,1,11
574477,12,1958-08-04,Jimmy Clanton And His Rockets,Just A Dream,,1,12
580506,13,1958-08-04,Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),,1,13
574100,14,1958-08-04,Pat Boone,If Dreams Came True,,1,14
571096,15,1958-08-04,Jerry Butler and The Impressions,For Your Precious Love,,1,15
579971,16,1958-08-04,The Danleers,One Summer Night,,1,16
573711,17,1958-08-04,Jody Reynolds,Endless Sleep,,1,17
576322,18,1958-08-04,The Elegants,Little Star,,1,18
571215,19,1958-08-04,Doris Day,Everybody Loves A Lover,,1,19
580369,20,1958-08-04,Bobby Freeman,Do You Want To Dance,,1,20
578907,21,1958-08-04,Johnny Cash And The Tennessee Two,Guess Things Happen That Way,,1,21
575950,22,1958-08-04,Johnny Mathis,A Certain Smile,,1,22
581101,23,1958-08-04,The Olympics,Western Movies,,1,23
579806,24,1958-08-04,Sheb Wooley,The Purple People Eater,,1,24
578294,25,1958-08-04,Chuck Willis,What Am I Living For,,1,25
570816,26,1958-08-04,Poni-Tails,Born Too Late,,1,26
577867,27,1958-08-04,The Crickets,Think It Over,,1,27
381200,28,1958-08-04,Jimmie Rodgers,Secretly,,1,28
571488,29,1958-08-04,The Four Lads,Enchanted Island,,1,29
573884,30,1958-08-04,Dean Martin,Angel Baby,,1,30
570548,31,1958-08-04,Big Bopper,Chantilly Lace,,1,31
580443,32,1958-08-04,Don Gibson,Blue Blue Day,,1,32
579343,33,1958-08-04,Tony And Joe,The Freeze,,1,33
581593,34,1958-08-04,Elvis Presley With The Jordanaires,Don't Ask Me Why,,1,34
578241,35,1958-08-04,Bobby Day,Rock-in Robin,,1,35
576796,36,1958-08-04,Gerry Granahan,"No Chemise, Please",,1,36
576995,37,1958-08-04,Perry Como,Moon Talk,,1,37
579775,38,1958-08-04,Buddy Knox with the Rhythm Orchids,Somebody Touched Me,,1,38
574328,39,1958-08-04,Pat Boone,That's How Much I Love You,,1,39
579255,40,1958-08-04,Bobby Hamilton,Crazy Eyes For You,,1,40
580958,41,1958-08-04,Buddy Holly,Early In The Morning,,1,41
575075,42,1958-08-04,The Slades,You Cheated,,1,42
575128,43,1958-08-04,Clyde McPhatter,Come What May,,1,43
575172,44,1958-08-04,Jan & Arnie,Jennie Lee,,1,44
580080,45,1958-08-04,The Diamonds,Kathy-O,,1,45
570869,46,1958-08-04,Gino & Gina,(It's Been A Long Time) Pretty Baby,,1,46
571097,47,1958-08-04,Dion & The Belmonts,I Wonder Why,,1,47
575521,48,1958-08-04,Dean Martin,Return To Me,,1,48
574716,49,1958-08-04,The Everly Brothers,All I Have To Do Is Dream,,1,49
576042,50,1958-08-04,Jimmy Bowen with the Rhythm Orchids,By The Light Of The Silvery Moon,,1,50
581646,50,1958-08-04,The Kirby Stone Four,"Baubles, Bangles And Beads",,1,50
579118,52,1958-08-04,The Rinky-Dinks,Early In The Morning,,1,52
577538,53,1958-08-04,Nat King Cole,Come Closer To Me (Acercate Mas),,1,53
581513,54,1958-08-04,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),,1,54
573351,55,1958-08-04,The Three G's,Let's Go Steady For The Summer,,1,55
572138,56,1958-08-04,Jack Scott,Leroy,,1,56
573150,57,1958-08-04,Eydie Gorme,You Need Hands,,1,57
575863,58,1958-08-04,The Crickets,Fool's Paradise,,1,58
575213,59,1958-08-04,Tony Bennett,Young And Warm And Wonderful,,1,59
579073,60,1958-08-04,Bobby Day,Over And Over,,1,60
572038,61,1958-08-04,Bobby Hendricks,Itchy Twitchy Feeling,,1,61
575811,62,1958-08-04,Ed Townsend,For Your Love,,1,62
571098,63,1958-08-04,Toni Arden,Padre,,1,63
581039,63,1958-08-04,Jerry Lee Lewis And His Pumping Piano,High School Confidential,,1,63
579732,65,1958-08-04,The Platters,You're Making A Mistake,,1,65
575025,66,1958-08-04,Jim Backus & Friend,Delicious!,,1,66
576360,67,1958-08-04,The Four Preps,Big Man,,1,67
581759,68,1958-08-04,Dean Martin,Volare (Nel Blu Dipinto Di Blu),,1,68
579385,69,1958-08-04,The Honeycones,Op,,1,69
577363,70,1958-08-04,The Playmates,Don't Go Home,,1,70
574187,71,1958-08-04,Frank Gallup,Got A Match?,,1,71
578518,72,1958-08-04,Connie Francis,Stupid Cupid,,1,72
577766,73,1958-08-04,Oscar McLollie and Jeanette Baker,Hey Girl - Hey Boy,,1,73
578389,74,1958-08-04,Sam Cooke,Win Your Love For Me,,1,74
579527,74,1958-08-04,Eydie Gorme,Gotta Have Rain,,1,74
576797,76,1958-08-04,Paul Anka,Midnight,,1,76
581113,77,1958-08-04,The Diamonds,Happy Years,,1,77
579576,78,1958-08-04,Bobby Freeman,Betty Lou Got A New Pair Of Shoes,,1,78
575305,79,1958-08-04,David Seville,The Bird On My Head,,1,79
575664,80,1958-08-04,Chuck Berry,Johnny B. Goode,,1,80
570678,81,1958-08-04,Chuck Berry,Beautiful Delilah,,1,81
570549,82,1958-08-04,Bill Doggett,Blip Blop,,1,82
579733,83,1958-08-04,Lee Andrews And The Hearts,Try The Impossible,,1,83
573664,84,1958-08-04,Eddie Cochran,Summertime Blues,,1,84
572929,85,1958-08-04,The Daddy-O's,Got A Match?,,1,85
581179,86,1958-08-04,Jackie Wilson,To Be Loved,,1,86
576759,87,1958-08-04,Kitty Wells,Jealousy,,1,87
576665,88,1958-08-04,The Upbeats,Just Like In The Movies,,1,88
578947,89,1958-08-04,Jim Reeves,Blue Boy,,1,89
574717,90,1958-08-04,The Ames Brothers,Stay,,1,90
579386,91,1958-08-04,Joe South,The Purple People Eater Meets The Witch Doctor,,1,91
575429,92,1958-08-04,The Everly Brothers,Bird Dog,,1,92
573885,93,1958-08-04,Jimmie Rodgers,Are You Really Mine,,1,93
573106,94,1958-08-04,Marty Robbins,She Was Only Seventeen (He Was One Year More),,1,94
573151,95,1958-08-04,Fats Domino,Little Mary,,1,95
573070,96,1958-08-04,Thurston Harris,Over And Over,,1,96
579945,97,1958-08-04,Robert & Johnny,I Believe In You,,1,97
573629,98,1958-08-04,The Ames Brothers,Little Serenade,,1,98
573936,99,1958-08-04,Billy Williams,I'll Get By (As Long As I Have You),,1,99
576798,100,1958-08-04,Frankie Vaughan,Judy,,1,100
581724,1,1958-08-11,Ricky Nelson,Poor Little Fool,1.0,2,1
581513,2,1958-08-11,Domenico Modugno,Nel Blu Dipinto Di Blu (Volaré),54.0,2,2
572037,3,1958-08-11,Perez Prado And His Orchestra,Patricia,2.0,2,2
577084,4,1958-08-11,Bobby Darin,Splish Splash,3.0,2,3
580391,5,1958-08-11,Kalin Twins,When,5.0,2,5
578872,6,1958-08-11,Jack Scott,My True Love,8.0,2,6
575171,7,1958-08-11,Elvis Presley With The Jordanaires,Hard Headed Woman,4.0,2,4
570634,8,1958-08-11,Duane Eddy His Twangy Guitar And The Rebels,Rebel-'rouser,6.0,2,6
574477,9,1958-08-11,Jimmy Clanton And His Rockets,Just A Dream,12.0,2,9
577259,9,1958-08-11,The Johnny Otis Show,Willie And The Hand Jive,9.0,2,9
580582,11,1958-08-11,The Coasters,Yakety Yak,7.0,2,7
574100,12,1958-08-11,Pat Boone,If Dreams Came True,14.0,2,12
575127,13,1958-08-11,Peggy Lee,Fever,10.0,2,10
576322,14,1958-08-11,The Elegants,Little Star,18.0,2,14
577537,15,1958-08-11,Frankie Avalon,Ginger Bread,11.0,2,11
571215,16,1958-08-11,Doris Day,Everybody Loves A Lover,19.0,2,16
579971,17,1958-08-11,The Danleers,One Summer Night,16.0,2,16
570816,18,1958-08-11,Poni-Tails,Born Too Late,26.0,2,18
580506,19,1958-08-11,Patti Page,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),13.0,2,13
573711,20,1958-08-11,Jody Reynolds,Endless Sleep,17.0,2,17
581101,21,1958-08-11,The Olympics,Western Movies,23.0,2,21
