album,artist,album_uri,artist_uri
Flood,They Might Be Giants,spotify:album:7FwAtuhhWivxvK4aPgyyUD,spotify:artist:6zB02lwP6L6ZH32nggQiJT
"Reading, Writing and Arithmetic",The Sundays,spotify:album:4bofszhtDfGY6smHBGeyTT,spotify:artist:4nlqDmbzFzbNITaqjJv7D7
RVS III,Ricky Van Shelton,spotify:album:2De4dmlnOPsItpihE3uvvt,spotify:artist:4uaaRGr9KMfYPDaUnBIngc
Lone Wolf,"Hank Williams, Jr.",spotify:album:67FryHZj95IDkBAanbBMFc,spotify:artist:2dyeCWctcFRt3Pha76ONgb
Stick It to Ya,Slaughter,spotify:album:23VJHuThcs4fjZa7RVyjC0,spotify:artist:4ibNXJiMYOPibpS9DB9Qz3
A Bit of What You Fancy,The Quireboys,spotify:album:1MO10hUmqw1ANCmMprA2SU,spotify:artist:0d49iRrp4iVZggKbcpxnqI
Vigil in a Wilderness of Mirrors,Fish,spotify:album:70qBd7KXLGPc0kHbn3sxC8,spotify:artist:6bQfVk5fSJSp3JtGiQZGNI
The Sweet Keeper,Tanita Tikaram,spotify:album:3wuwBDoBVZoSZvAWSXKoMW,spotify:artist:2gTl60Ao3u7bljVnAqxPh8
Lost Paradise,Paradise Lost,spotify:album:3pfULLXSfMWqe3bJw9GJzA,spotify:artist:0gIo6kGl4KsCeIbqtZVHYp
Frizzle Fry,Primus,spotify:album:0bCjsDy7xtSGsKleQXF9ng,spotify:artist:64mPnRMMeudAet0E62ypkx
Blue Sky Mining,Midnight Oil,spotify:album:4C3raKL0dzfTitM3YtqN1S,spotify:artist:72KyoXzp0NOQij6OcmZUxk
Real Men... Wear Black,Cameo,spotify:album:58zhfsoiXwrNFkyNujERnx,spotify:artist:545idYhdloaSlLGBY8E9u2
"Please Hammer, Don't Hurt 'Em",MC Hammer,spotify:album:4r1WecJyt5FOhglysp9zhN,spotify:artist:2rblp9fJo16ZPTcKDtlmKW
Stay Sick!,The Cramps,spotify:album:1dVlbK5Uadn7dfJx3IAfA5,spotify:artist:4lYtGx5NZQJHsMyhHc5iz3
Welcome to the Beautiful South,The Beautiful South,spotify:album:0YcVvB5MOlk3QLH5wcNpn4,spotify:artist:4fomCZiFUMX73KJ0YQ0V90
Shake Your Money Maker,The Black Crowes,spotify:album:1Sg7cFQp2xL25GMrcdXTN5,spotify:artist:5krkohEVJYw0qoB5VWwxaC
Spiritual Healing,Death,spotify:album:77EEiJQ8hOoh0aho4Jmwr9,spotify:artist:4f5V3PQ66nIrBCqugJtaGn
Heritage,"Earth, Wind & Fire",spotify:album:1EoQsfQLa5tHthlgkDE6Ro,spotify:artist:4QQgXkCYTt3BlENzhyNETg
Up to No Good,Peter Wolf,spotify:album:1mcmCejgPh8HcSJ0IZmcMU,spotify:artist:003kZCrZhoxCckVJ2jCiJC
Dark at the End of the Tunnel,Oingo Boingo,spotify:album:58DHZ3WtIAIplzWcJEQn0J,spotify:artist:5LXEAEGrpKQtpyCu2sZuWu
This Should Move Ya,Mantronix,spotify:album:1Y4uk7SWCVFxh2vtOPD74S,spotify:artist:0grZF2s6ADKiTGwf8EVZEY
Heading for Tomorrow,Gamma Ray,spotify:album:0kioTTI8NgF1zk79yeU0RI,spotify:artist:6LZE884lDIsCSLHuTplfGp
Blackout in the Red Room,Love/Hate,spotify:album:7ySvIgQt4DmewXYtuR8EYk,spotify:artist:2KhbcJUHaPopOLQRzC0B5E
Gold Afternoon Fix,The Church,spotify:album:5AWuHRUJnTIZUV980khBKz,spotify:artist:2ZfogSsOWP4mVfEqfpLXCt
Submarine Bells,The Chills,spotify:album:50ro1Uk0loQWurWVsU6leJ,spotify:artist:6soJo0dtX31T30OxtS4A39
Highwayman 2,The Highwaymen,spotify:album:7ftmg3XnQcA0bzbWolYzOn,spotify:artist:6e7QpHYqEiyJGiM98IysLa
Ah Via Musicom,Eric Johnson,spotify:album:4euX7BHHIVZecdn7Ii3eg2,spotify:artist:4CxobvwTpmfpIEbkYh4pAb
The Privilege of Power,Riot,spotify:album:5FOAmXcMIy0Sq5fOOd1SPR,spotify:artist:2TTfkn3oA5dSvqmvVxjUxR
Travel-Log,J.J. Cale,spotify:album:31540PNZdNpHdzh6rQ9tSW,spotify:artist:06nsZ3qSOYZ2hPVIMcr1IN
The Caution Horses,Cowboy Junkies,spotify:album:0rA98izyzqKu5ju9ymxTWM,spotify:artist:3CYSRCHfilgR8DSbkCMp5j
Poison,Bell Biv DeVoe,spotify:album:3Fa7c5eB1TiAhoyhS4ReNi,spotify:artist:2zFZiWQJFFshzojycnXoTL
Backstreet Symphony,Thunder,spotify:album:53lOqJcNFXCmdboWYXLZ4T,spotify:artist:3SfrwwVPGtjYTI3vwQ4hEU
New Funky Nation,Boo-Yaa T.R.I.B.E.,spotify:album:5X06KRevZeehVOxlJfScCn,spotify:artist:7rcalnUNzqAa9DxU3O4oOD
Third World Warrior,Kris Kristofferson,spotify:album:0oMGfB7k2zwZKaxABQ5lVp,spotify:artist:0vYQRW5LIDeYQOccTviQNX
Beg to Differ,Prong,spotify:album:7AyJ2XmfbdwAFHZpuG2sqs,spotify:artist:6SER9tY2pDIDVWVf5Ql97B
My Romance,Carly Simon,spotify:album:37sH94aNAxFDks34xJLiDm,spotify:artist:4FtSnMlCVxCswABUmdhwpm
Blacks' Magic,Salt-N-Pepa,spotify:album:4iCiqnufcdAdTyKrkKGwqR,spotify:artist:7wqtxqI3eo7Gn1P7SpP6cQ
Manic Nirvana,Robert Plant,spotify:album:3BiwdeeGEhgxojoZISTe2J,spotify:artist:1OwarW4LEHnoep20ixRA0y
Violator,Depeche Mode,spotify:album:5g3Yi15plTSMaq6tYiuw8p,spotify:artist:762310PdDnwsDxAQxzQkfX
Extricate,The Fall,spotify:album:1AsnQDWormhfLMaaZ4o52p,spotify:artist:6WoTvA9qinpHtSRJuldYh6
I Do Not Want What I Haven't Got,Sinéad O'Connor,spotify:album:6igmWtErBwslAGG7fgjLGA,spotify:artist:4sD9znwiVFx9cgRPZ42aQ1
Showtime,Nitzer Ebb,spotify:album:1DAOZB9Jc9cxVjYyahbyeZ,spotify:artist:7EnAgffrVyerTWH628TJ6f
Sex Packets,Digital Underground,spotify:album:6HWrL7hDFxfc8Z17JI9JIL,spotify:artist:7jocoSCuCtpCxCI6IbP8ye
Mental Floss for the Globe,Urban Dance Squad,spotify:album:5rUUFXK642ZrYTSocjVIcB,spotify:artist:0Vo614yFlepUdpdbkggrmC
Brigade,Heart,spotify:album:5CuSWXFhWielWXrXK8Sd8m,spotify:artist:34jw2BbxjoYalTp8cJFCPv
Still Got the Blues,Gary Moore,spotify:album:5yrouz3mmUWSsCufl1tLUJ,spotify:artist:23wr9RJZg0PmYvVFyNkQ4j
Forever Everlasting,Everlast,spotify:album:4Inqt6Q3iZzFxOptkmVW0i,spotify:artist:14ZxDAK6ITtZZqPdiWrvSn
Representing the Mambo,Little Feat,spotify:album:5YLqtFrwxzpixyfwUJw7Gh,spotify:artist:0ZIwOAzDuGPspzK7yiTc4S
Manners & Physique,Adam Ant,spotify:album:1XgKVOGUWWECOmahgEvIwk,spotify:artist:3QP0XPDwbvGivqDAaJ5f5G
Up in It,The Afghan Whigs,spotify:album:3grbrxtqclZmmdmSsvYBTq,spotify:artist:7IDrRpDz0cOuUVC32c8PKD
Born to Sing,En Vogue,spotify:album:2DBXNFNw8gjwFbHOXL7Iwc,spotify:artist:5fikk4h5qbEebqK2Fc6e48
Chemicrazy,That Petrol Emotion,spotify:album:1HMheOIOa8jKsFPA4ZkFHf,spotify:artist:532Srqaijer1gzRS85bD9y
Act III,Death Angel,spotify:album:3RR1a5lQ8qPQ1EYe1uC0hi,spotify:artist:6KVc8Llznru8n9LVCYe9dz
Behind the Mask,Fleetwood Mac,spotify:album:3aXrkfZW8FzUDOU0RwQ401,spotify:artist:08GQAI4eElDnROBrJRGE0X
Days of Open Hand,Suzanne Vega,spotify:album:5p0r8vefgcDLsTgboOIBQy,spotify:artist:3X0tJzVYoWlfjLYI0Ridsw
Fear of a Black Planet,Public Enemy,spotify:album:1UkKcAlvKl4YnRdIHORnCX,spotify:artist:6Mo9PoU6svvhgEum7wh2Nd
People's Instinctive Travels and the Paths of Rhythm,A Tribe Called Quest,spotify:album:3kV0i1qqudjf0PGawJ4jck,spotify:artist:09hVIj6vWgoCDtT03h8ZCa
Vanity/Nemesis,Celtic Frost,spotify:album:3mqthfmCsT8ZcISC4WtK8Q,spotify:artist:4ZISAmHmQUDCpv8xydqeKG
Hammerheart,Bathory,spotify:album:7tImvQIGHwrUBfwHr5k78U,spotify:artist:6rBvjnvdsRxFRSrq1StGOM
The Myth of Rock,Consolidated,spotify:album:3NWKO1lVJHfXHS5Pq3R0rV,spotify:artist:2GQYazkEEYH4jJnDLpofHL
"Reading, Writing, and Arithmetic",The Sundays,spotify:album:4bofszhtDfGY6smHBGeyTT,spotify:artist:4nlqDmbzFzbNITaqjJv7D7
Repeater,Fugazi,spotify:album:3ZnF1cPxlqB48RyLiecDnv,spotify:artist:62sC6lUEWRjbFqXpMmOk4G
Metaphysical Graffiti,The Dead Milkmen,spotify:album:6ZoNJYckkrHcPwYdihhkkj,spotify:artist:2fhngmJMaaKcdhXHCa4cPK
Goodbye Jumbo,World Party,spotify:album:0NHOAAAuzEglpm88igZi1a,spotify:artist:0THUMJMWUd5L8os9K6O4FE
Charmed Life,Billy Idol,spotify:album:4GCciwt8efweJZ4AEEvnTQ,spotify:artist:7lzordPuZEXxwt9aoVZYmG
The Winding Sheet,Mark Lanegan,spotify:album:7nB7r0yBmVMDJfnADLdMie,spotify:artist:1fpXM23IoNckJ7NDAm8YJQ
Love Moves,Kim Wilde,spotify:album:417C2SRzTnzvNwTugEY0aA,spotify:artist:73a6pNH4YtLNgDbPQwXveo
Everybody Knows,Sonia,spotify:album:0ngctST778TnK9uZWuYMJs,spotify:artist:2f5TIh7OVx3UixWpoiH8Yj
The Revival,Tony! Toni! Toné!,spotify:album:5yORmYtkTZdFgo6ppcsFZT,spotify:artist:7vWlb4pM85jCHvV771qZZW
Tattooed Millionaire,Bruce Dickinson,spotify:album:0o4tGVBrPdCRXJbJoq1FGs,spotify:artist:7Iffw1nP3NjCWkRIx3Ily9
Young Lions,Adrian Belew,spotify:album:7L0r2dXQ6EuS2srm199ZcV,spotify:artist:67ACRXvvMXGf3zGJMefM63
Circle of One,Oleta Adams,spotify:album:2U6BLZitsauouOL80Avn7f,spotify:artist:1BMb6sQJVkmUyCuodmRs2g
Livin' It Up,George Strait,spotify:album:56kF3zaRZS3BO1eNiyBLtO,spotify:artist:5vngPClqofybhPERIqQMYd
Lock up the Wolves,Dio,spotify:album:15UiNu0KzbdGcLgwHfQFgb,spotify:artist:4CYeVo5iZbtYGBN4Isc3n6
AmeriKKKa's Most Wanted,Ice Cube,spotify:album:09TlsckA5lUqWWuIOSnGbw,spotify:artist:3Mcii5XWf6E0lrY3Uky4cA
20 Años,Luis Miguel,spotify:album:3D9NENGfg4DFmYJrEaxRHd,spotify:artist:2nszmSgqreHSdJA3zWPyrW
Let the Rhythm Hit 'Em,Eric B. & Rakim,spotify:album:7H6Dsb9KmsaPy5o5Uee7lD,spotify:artist:6jHG1YQkqgojdEzerwvrVv
Bloodletting,Concrete Blonde,spotify:album:0lg6bgtAuwJDfPnGYrf5Do,spotify:artist:2ICSjfBpos9PxMhGhX25N2
I Want Too Much,A House,spotify:album:2qJubKZoS6FbLmt0q5m573,spotify:artist:53YkKjHFfjYq6dtcLiQ8NO
Pod,The Breeders,spotify:album:0xx56m5AMEIMZlSjdJwxf5,spotify:artist:1xgFexIwrf2QjbU0buCNnp
Joe Cocker Live,Joe Cocker,spotify:album:6CpOgaWKkuIXrV3gqJmKMz,spotify:artist:3pFCERyEiP5xeN2EsPXhjI
The Internationale,Billy Bragg,spotify:album:5udxTfyMaa3nC8LxJQsPNb,spotify:artist:5yXAFDZNUNyO92l5WTImkO
Manscape,Wire,spotify:album:17NaNJJQ3NKryOJ64nd3gb,spotify:artist:2i8ynmFv4qgRksyDlBgi6d
The Word as Law,Neurosis,spotify:album:6S7NXVK11HrTMiJdybvBVX,spotify:artist:1KHydwFySZY3YcWyo2q2dF
Gold Mother,James,spotify:album:7qQEoMXpeyJ2GJkkdDsVdr,spotify:artist:0qLNsNKm8bQcMoRFkR8Hmh
Left Hand Path,Entombed,spotify:album:5EavicRNMYlA7Dwd9udrHM,spotify:artist:2pnezMcaiTHfGmgmGQjLsB
Sumerian Cry,Tiamat,spotify:album:12j4zMWKjBwG6dyJL02ixC,spotify:artist:5SwHKKNKYToC1YzWVNWAIN
A Catholic Education,Teenage Fanclub,spotify:album:4vRg6GaqGuuYCAvIzkX1y6,spotify:artist:2Sp19cOHSqAUlE64hekARW
